-2.030762	0.513672	2.919922	1.277128	-1.312492	-0.085680
-2.043457	0.505859	2.916504	1.447064	-1.299201	-0.072151
-2.074707	0.514648	2.970215	1.633139	-1.284960	-0.068354
-2.149902	0.487793	3.070801	1.766761	-1.313204	-0.093037
-2.196777	0.514160	3.140625	1.826571	-1.369453	-0.167800
-2.259277	0.500488	3.158203	1.873327	-1.395086	-0.282672
-2.292480	0.504395	3.170898	1.927203	-1.402918	-0.441690
-2.272461	0.523438	3.167969	2.038278	-1.391526	-0.588367
-2.262207	0.527832	3.223145	2.132740	-1.333140	-0.733619
-2.266113	0.547363	3.306152	2.163357	-1.267872	-0.871988
-2.267090	0.562988	3.397461	2.153626	-1.240578	-1.035753
-2.253906	0.573730	3.469238	2.135588	-1.244138	-1.211385
-2.228027	0.582031	3.566406	2.061063	-1.249834	-1.370878
-2.189941	0.594727	3.671387	1.977757	-1.213046	-1.530607
-2.141602	0.617676	3.732422	1.884957	-1.120958	-1.676809
-2.115723	0.616699	3.822754	1.722141	-0.964551	-1.833454
-2.087891	0.628418	3.908203	1.581873	-0.768983	-1.940732
-2.067383	0.631836	3.999878	1.358061	-0.576974	-2.028073
-2.096191	0.638672	3.999878	1.118347	-0.530930	-2.084797
-2.133789	0.637695	3.999878	0.901181	-0.698255	-2.113515
-2.186523	0.629883	3.999878	0.709647	-1.046196	-2.166205
-2.266113	0.620605	3.999878	0.635123	-1.460829	-2.264701
-2.278320	0.591309	3.999878	0.533778	-1.985589	-2.418972
-2.232422	0.616211	3.999878	0.463051	-2.430127	-2.606234
-2.155762	0.628906	3.999878	0.386865	-2.682657	-2.752435
-2.027832	0.626953	3.999878	0.354349	-2.774983	-2.877039
-1.938965	0.652832	3.999878	0.347941	-2.680284	-2.977434
-1.891113	0.642578	3.999878	0.333226	-2.518418	-3.087560
-1.880859	0.627441	3.999878	0.280774	-2.292470	-3.254410
-1.828125	0.623047	3.999878	0.151898	-2.062012	-3.492700
-1.724121	0.611816	3.999878	0.016614	-1.863359	-3.706306
-1.556152	0.620117	3.999878	-0.234492	-1.611303	-3.933203
-1.329102	0.653320	3.999878	-0.522386	-1.340023	-4.054009
-1.152832	0.711914	3.999878	-0.807194	-1.086069	-4.078455
-0.971680	0.753906	3.999878	-1.100547	-0.942953	-4.006304
-0.806641	0.736816	3.999878	-1.346906	-0.840659	-3.846337
-0.710449	0.682129	3.999878	-1.527047	-0.884093	-3.639851
-0.642578	0.625488	3.999878	-1.694135	-1.064708	-3.431228
-0.528320	0.597168	3.999878	-1.862409	-1.325783	-3.230676
-0.468750	0.575684	3.999878	-2.056791	-1.512570	-3.055044
-0.353516	0.563965	3.999878	-2.244527	-1.668028	-2.796818
-0.256348	0.544434	3.999878	-2.405444	-1.751097	-2.502753
-0.175293	0.542480	3.999878	-2.649667	-1.731160	-2.229812
-0.109863	0.546875	3.999878	-2.887957	-1.632427	-1.929102
-0.065918	0.512207	3.999878	-3.062876	-1.501177	-1.648803
-0.035156	0.469238	3.960449	-3.276245	-1.361384	-1.352602
-0.004395	0.438965	3.830566	-3.461133	-1.182904	-1.069218
0.023438	0.421387	3.664062	-3.558918	-0.999440	-0.832827
0.047363	0.356445	3.513184	-3.595231	-0.802685	-0.566769
0.054688	0.284668	3.383301	-3.582177	-0.609253	-0.307830
0.038086	0.222168	3.298828	-3.538981	-0.429823	-0.070727
0.006836	0.197266	3.224609	-3.522842	-0.249682	0.128164
-0.012695	0.143066	3.181152	-3.530199	-0.052215	0.270331
-0.028320	0.085938	3.095215	-3.582889	0.153084	0.368589
-0.002441	0.052246	2.947266	-3.618253	0.379744	0.464238
0.041992	0.019531	2.878418	-3.588110	0.630376	0.582670
0.073730	0.018066	2.774414	-3.519044	0.883618	0.765185
0.093262	0.018555	2.700195	-3.436450	1.090341	1.039076
0.088379	0.066406	2.693359	-3.366435	1.215894	1.405054
-0.009277	0.064941	2.651855	-3.297131	1.270008	1.796191
-0.179688	0.020508	2.636230	-3.225217	1.220166	2.155999
-0.382324	-0.052246	2.610840	-3.126009	1.018190	2.416599
-0.563477	-0.116699	2.586914	-3.008051	0.665977	2.600538
-0.696777	-0.171875	2.533203	-2.861137	0.217166	2.710663
-0.801758	-0.229980	2.439453	-2.672926	-0.249682	2.757894
-0.861816	-0.316406	2.331543	-2.457184	-0.639157	2.760979
-0.899414	-0.379395	2.208496	-2.212961	-0.867004	2.735109
-0.922363	-0.382812	2.099121	-1.990336	-0.936545	2.677198
-0.884277	-0.406250	1.998535	-1.778865	-0.814789	2.618575
-0.842773	-0.391602	1.940430	-1.575227	-0.475867	2.605759
-0.817383	-0.365234	1.951660	-1.387017	-0.067167	2.667467
-0.819824	-0.336914	1.970215	-1.264074	0.308780	2.776881
-0.914062	-0.354980	1.992188	-1.140895	0.620882	2.927830
-1.078125	-0.393555	1.989746	-0.999440	0.809330	3.007101
-1.237793	-0.455078	2.028809	-0.842795	0.794378	2.987877
-1.355957	-0.493652	2.010742	-0.645328	0.601895	2.882023
-1.412598	-0.518066	2.004883	-0.381643	0.334650	2.723954
-1.413086	-0.501465	1.958984	-0.088053	0.111075	2.556392
-1.346680	-0.423828	1.970215	0.213606	0.022310	2.437247
-1.271484	-0.296875	1.978516	0.487022	0.150236	2.410665
-1.329590	-0.188477	2.059570	0.725075	0.381881	2.468102
-1.424805	-0.167969	2.177734	0.927051	0.559411	2.560664
-1.517090	-0.154785	2.301758	1.086306	0.677369	2.611218
-1.641113	-0.121094	2.441895	1.169613	0.647464	2.643259
-1.727051	-0.116699	2.577148	1.221116	0.448810	2.604572
-1.786621	-0.062988	2.689941	1.235356	0.128876	2.539304
-1.828125	-0.017578	2.730469	1.243188	-0.168986	2.487089
-1.884277	-0.026855	2.719238	1.281163	-0.423890	2.429178
-1.973145	-0.070312	2.706543	1.345245	-0.614237	2.313830
-2.056641	-0.108887	2.691406	1.434485	-0.763761	2.163119
-2.125000	-0.122559	2.694336	1.583297	-0.826182	1.966127
-2.161133	-0.068848	2.729004	1.625306	-0.857036	1.748011
-2.179688	0.023926	2.792969	1.659009	-0.868903	1.518741
-2.166016	0.121582	2.826172	1.701730	-0.942004	1.338837
-2.190430	0.171875	2.904785	1.797141	-1.118110	1.204739
-2.191895	0.206543	2.954102	1.928864	-1.405054	1.094376
-2.193359	0.189941	2.995605	2.056791	-1.696746	1.004187
-2.183594	0.180176	3.022949	2.160271	-2.040652	0.884805
-2.163574	0.185059	3.073730	2.225302	-2.331868	0.742638
-2.092773	0.210449	3.092773	2.320951	-2.528386	0.626341
-2.018066	0.270508	3.114258	2.459083	-2.647531	0.520487
-2.012207	0.336426	3.191406	2.505839	-2.728464	0.453320
-2.026855	0.395996	3.331055	2.571107	-2.821739	0.384729
-2.051270	0.429199	3.468750	2.555680	-2.977434	0.299286
-2.058105	0.424316	3.560059	2.546187	-3.141911	0.212894
-2.095703	0.396484	3.646973	2.520079	-3.285976	0.091139
-2.114746	0.436035	3.727051	2.484478	-3.348634	-0.066218
-2.116699	0.465332	3.801758	2.372216	-3.364536	-0.239714
-2.131836	0.473633	3.916992	2.286774	-3.495548	-0.412260
-2.162109	0.471191	3.999878	2.179733	-3.782967	-0.613287
-2.142090	0.471680	3.999878	2.090968	-4.091509	-0.855849
-2.064941	0.498047	3.999878	2.028785	-4.370859	-1.110278
-1.984863	0.593750	3.999878	2.015968	-4.586364	-1.334090
-1.890137	0.675293	3.999878	1.992234	-4.738024	-1.495718
-1.846680	0.681152	3.999878	1.936697	-4.834859	-1.622933
-1.777344	0.667969	3.999878	1.708375	-4.893957	-1.774356
-1.703613	0.670410	3.999878	1.414073	-4.993877	-1.944766
-1.667969	0.677734	3.999878	1.117635	-5.113734	-2.091917
-1.556152	0.635254	3.999878	0.867241	-5.146249	-2.286536
-1.399414	0.620117	3.999878	0.659806	-5.011440	-2.478307
-1.250488	0.578125	3.999878	0.522861	-4.740872	-2.656550
-1.029785	0.541504	3.992676	0.455456	-4.300843	-2.829808
-0.850586	0.507812	3.945312	0.478953	-3.852270	-2.923320
-0.649902	0.455566	3.966309	0.458779	-3.349821	-2.964855
-0.428223	0.371582	3.999878	0.445250	-2.865647	-2.955836
-0.210449	0.324707	3.999878	0.437181	-2.458133	-2.865884
-0.044434	0.284668	3.999878	0.462339	-2.153389	-2.704967
0.140137	0.284668	3.999878	0.532117	-1.851966	-2.493022
0.263672	0.327637	3.999878	0.576262	-1.486700	-2.195160
0.367676	0.385254	3.999878	0.530456	-1.187888	-1.806872
0.359863	0.416504	3.999878	0.399206	-1.012731	-1.371590
0.296875	0.412109	3.999878	0.193432	-0.815501	-0.969060
0.195801	0.387695	3.999878	-0.042484	-0.636547	-0.646515
0.081543	0.335449	3.999878	-0.310204	-0.598335	-0.393273
-0.006836	0.321289	3.999878	-0.559411	-0.667876	-0.221201
-0.079102	0.321777	3.999878	-0.825944	-0.726261	-0.100870
-0.127930	0.288086	3.999878	-0.927288	-0.721514	-0.035838
-0.170410	0.256348	3.999878	-0.909963	-0.687575	0.000000
-0.238770	0.222168	3.999878	-0.857748	-0.659331	-0.004509
-0.312012	0.170898	3.999878	-0.772305	-0.668825	-0.050316
-0.397949	0.095215	3.999878	-0.668350	-0.729347	-0.162341
-0.439453	0.045898	3.999878	-0.590740	-0.816451	-0.326818
-0.420898	0.023438	3.999878	-0.645091	-0.899282	-0.530456
-0.339844	0.007812	3.999878	-0.742163	-0.984250	-0.727448
-0.248535	0.036621	3.999878	-0.846593	-1.096987	-0.901893
-0.118652	0.073730	3.999878	-0.871988	-1.188600	-1.012968
0.043457	0.139648	3.999878	-0.937019	-1.028158	-0.998016
0.111328	0.174316	3.999878	-0.950073	-0.945089	-0.909725
0.179199	0.188477	3.999878	-0.961465	-0.952447	-0.767084
0.154297	0.162109	3.999878	-0.962178	-0.917083	-0.601183
output[0] = 0
output[1] = 0
output[2] = 0
output[3] = 0
output[4] = 100
output[5] = 0
output[6] = 0
output[7] = 0
output[8] = 0
output[9] = 0
output[10] = 0
output[11] = 0
output[12] = 0
Action Type: 4
